POSTACCT,JOURNAL,POSTDATE,REFNO,SUFFIX,TRANDATE,CNTRLNO,DESC,AMOUNT,COUNT,SYS_DATE,TYPE,COUNTER,CREDIT_AMT,POSTBY,SYSTEM,BALANCE,UNAPPLIED,STOCK,ORIG_APPLY,FISCAL,INVOICE,INVOICE2,INVOICE3,INVOICE4,INVOICE5,HEDPOST,ORIG_AMT,BATCHNO
8500,75,2014-09-25,    092514,,2014-09-25,,,53.52,0,2014-09-25,14,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,75,2014-09-25,    092514,,2014-09-25,    572111,ACCOUNTS PAYABLE,-53.52,0,2014-09-25,14,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
8040,75,2014-09-25,    100114,,2014-10-01,,,6250.89,0,2014-09-25,14,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,75,2014-09-25,    100114,,2014-10-01,    311480,ACCOUNTS PAYABLE,-6250.89,0,2014-09-25,14,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
8681,75,2014-09-26,    093014,,2014-09-30,,,104.45,0,2014-09-26,14,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,75,2014-09-26,    093014,,2014-09-30,    269770,ACCOUNTS PAYABLE,-104.45,0,2014-09-26,14,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
8520,75,2014-09-30,    092214,,2014-09-22,,,332.62,0,2014-09-30,14,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,75,2014-09-30,    092214,,2014-09-22,    258010,ACCOUNTS PAYABLE,-332.62,0,2014-09-30,14,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1002,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,-9919.95,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,-9919.95,0.0,,0.0,0.0,,,,,,,-9919.95,    101170
2132,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,-10.33,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,-10.33,0.0,,0.0,0.0,,,,,,,-10.33,    101170
8040,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,-865.57,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,-865.57,0.0,,0.0,0.0,,,,,,,-865.57,    101170
8660,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,43.24,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,43.24,0.0,,0.0,0.0,,,,,,,43.24,    101170
1440,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,4058.79,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,4058.79,0.0,,0.0,0.0,,,,,,,4058.79,    101170
7030,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,127.8,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,127.8,0.0,,0.0,0.0,,,,,,,127.8,    101170
7340,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,127.8,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,127.8,0.0,,0.0,0.0,,,,,,,127.8,    101170
8420,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,72.0,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,72.0,0.0,,0.0,0.0,,,,,,,72.0,    101170
8020,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,1275.23,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,1275.23,0.0,,0.0,0.0,,,,,,,1275.23,    101170
7600,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,921.28,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,921.28,0.0,,0.0,0.0,,,,,,,921.28,    101170
7070,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,750.0,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,750.0,0.0,,0.0,0.0,,,,,,,750.0,    101170
7270,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,750.0,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,750.0,0.0,,0.0,0.0,,,,,,,750.0,    101170
7080,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,375.0,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,375.0,0.0,,0.0,0.0,,,,,,,375.0,    101170
7280,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,375.0,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,375.0,0.0,,0.0,0.0,,,,,,,375.0,    101170
7700,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,1150.0,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,1150.0,0.0,,0.0,0.0,,,,,,,1150.0,    101170
7720,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,50.0,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,50.0,0.0,,0.0,0.0,,,,,,,50.0,    101170
8100,40,2014-10-01,    101170,0000,2014-10-01,,PAYROLL FOR 10/3,719.71,0,2014-10-01,9,0,0.0,LUKE DOVI,AC,719.71,0.0,,0.0,0.0,,,,,,,719.71,    101170
1002,60,2014-10-01,     32187,,2014-10-01,,,9919.95,0,2014-10-01,8,0,0.0,Jesse Dovi,AC,9919.95,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-01,     32187,,2014-10-01,     32187, CFCU COMMUNITY CREDIT UNION,-9919.95,0,2014-10-01,8,0,0.0,Jesse Dovi,AC,0.0,0.0,,0.0,0.0,,,,,,,0.0,
